  run  | cfg | numfile |           start            |            stop            |    runlength    
 11353 | 583 |       1 | 2017-05-16 09:08:34.413924 | 2017-05-16 10:17:32.823462 | 01:08:58.409538
 11352 | 583 |       1 | 2017-05-16 06:14:35.472668 | 2017-05-16 08:59:22.068077 | 02:44:46.595409
 11351 | 583 |       1 |                            |                            | 
 11350 | 583 |       1 | 2017-05-16 05:37:34.649173 | 2017-05-16 05:40:58.58742  | 00:03:23.938247
 11349 | 583 |       1 | 2017-05-16 05:11:12.37847  | 2017-05-16 05:13:04.645156 | 00:01:52.266686
 11348 | 583 |       1 | 2017-05-16 04:28:42.126022 | 2017-05-16 04:58:34.233999 | 00:29:52.107977
 11347 | 561 |       1 | 2017-05-16 03:20:40.941818 |                            | 
 11346 | 561 |       1 | 2017-05-16 03:17:17.230122 | 2017-05-16 03:17:59.595296 | 00:00:42.365174
 11345 | 561 |       1 | 2017-05-16 03:04:37.414335 | 2017-05-16 03:07:38.27581  | 00:03:00.861475
 11344 | 558 |       1 | 2017-05-16 02:59:48.75286  | 2017-05-16 02:59:54.662494 | 00:00:05.909634
 11343 | 558 |       1 | 2017-05-16 02:54:09.133109 |                            | 
 11342 | 558 |       1 | 2017-05-16 02:47:06.449328 | 2017-05-16 02:47:11.215395 | 00:00:04.766067
 11341 | 583 |       1 | 2017-05-16 02:08:55.246487 | 2017-05-16 02:10:15.353717 | 00:01:20.10723
 11340 | 583 |       1 | 2017-05-16 01:59:20.69106  | 2017-05-16 02:00:39.469782 | 00:01:18.778722
 11339 | 583 |       1 | 2017-05-16 01:46:27.128645 | 2017-05-16 01:47:27.993246 | 00:01:00.864601
 11338 | 583 |       1 | 2017-05-16 01:37:20.912186 | 2017-05-16 01:38:47.695827 | 00:01:26.783641
 11337 | 583 |       1 | 2017-05-16 01:25:59.866201 | 2017-05-16 01:27:13.260491 | 00:01:13.39429
 11336 | 583 |       1 | 2017-05-16 01:16:28.050009 | 2017-05-16 01:17:55.726502 | 00:01:27.676493
 11335 | 558 |       1 | 2017-05-16 00:54:03.00248  | 2017-05-16 00:54:15.846985 | 00:00:12.844505
 11334 | 583 |       1 | 2017-05-16 00:46:07.359644 | 2017-05-16 00:49:15.281005 | 00:03:07.921361
 11333 | 583 |       1 | 2017-05-16 00:37:23.465289 | 2017-05-16 00:38:30.884012 | 00:01:07.418723
 11332 | 583 |       1 |                            |                            | 
 11331 | 558 |       1 |                            |                            | 
 11330 | 558 |       1 | 2017-05-16 00:23:38.359738 | 2017-05-16 00:23:50.765845 | 00:00:12.406107
 11329 | 558 |       1 | 2017-05-16 00:13:59.952581 | 2017-05-16 00:14:05.547055 | 00:00:05.594474
 11328 | 558 |       1 | 2017-05-16 00:07:30.216792 | 2017-05-16 00:07:49.582293 | 00:00:19.365501
 11327 | 558 |       1 | 2017-05-16 00:02:08.856419 | 2017-05-16 00:02:27.576673 | 00:00:18.720254
 11326 | 558 |       1 | 2017-05-15 23:54:32.349026 | 2017-05-15 23:54:59.760989 | 00:00:27.411963
 11325 | 558 |       1 | 2017-05-15 23:49:23.506676 |                            | 
 11324 | 558 |       1 |                            |                            | 
 11323 | 527 |       1 | 2017-05-15 23:35:02.552018 | 2017-05-15 23:35:43.640949 | 00:00:41.088931
 11322 | 584 |       1 |                            |                            | 
 11321 | 584 |       1 |                            |                            | 
 11320 | 558 |       1 | 2017-05-15 23:01:58.459689 |                            | 
 11319 | 558 |       1 | 2017-05-15 22:40:22.987611 | 2017-05-15 22:40:27.81054  | 00:00:04.822929
 11318 | 558 |       1 |                            |                            | 
 11317 | 558 |       1 | 2017-05-15 22:31:17.528805 | 2017-05-15 22:31:42.383548 | 00:00:24.854743
 11316 | 558 |       1 |                            |                            | 
 11315 | 558 |       1 | 2017-05-15 22:25:14.003539 | 2017-05-15 22:25:16.371835 | 00:00:02.368296
 11314 | 558 |       1 | 2017-05-15 21:58:35.591878 | 2017-05-15 21:59:46.036172 | 00:01:10.444294
 11313 | 558 |       1 | 2017-05-15 21:54:23.916059 |                            | 
 11312 | 558 |       1 | 2017-05-15 21:49:22.990628 |                            | 
 11311 | 558 |       1 | 2017-05-15 21:15:14.393676 | 2017-05-15 21:23:13.917478 | 00:07:59.523802
 11310 | 558 |       1 | 2017-05-15 21:10:29.365338 |                            | 
 11309 | 558 |       1 | 2017-05-15 21:06:22.098776 |                            | 
 11308 | 476 |       1 | 2017-05-15 20:56:33.018613 | 2017-05-15 20:57:35.006299 | 00:01:01.987686
 11307 | 558 |       1 | 2017-05-15 20:51:07.306089 |                            | 
 11306 | 476 |       1 | 2017-05-15 20:35:25.028705 | 2017-05-15 20:36:15.534107 | 00:00:50.505402
 11305 | 476 |       1 | 2017-05-15 20:30:19.675462 | 2017-05-15 20:31:13.595267 | 00:00:53.919805
 11304 | 583 |       1 | 2017-05-15 19:00:45.555871 | 2017-05-15 19:02:06.830567 | 00:01:21.274696
 11303 | 558 |       1 |                            |                            | 
 11302 | 558 |       1 | 2017-05-15 18:43:56.642222 | 2017-05-15 18:44:23.521779 | 00:00:26.879557
 11301 | 544 |       1 |                            |                            | 
 11300 | 544 |       1 |                            |                            | 
 11299 | 544 |       1 |                            |                            | 
 11298 | 544 |       1 |                            |                            | 
 11297 | 558 |       1 | 2017-05-15 02:37:05.928667 | 2017-05-15 04:28:35.16539  | 01:51:29.236723
 11296 | 558 |       1 | 2017-05-15 01:26:50.258978 | 2017-05-15 02:33:28.811597 | 01:06:38.552619
 11295 | 558 |       1 |                            |                            | 
 11294 | 558 |       1 | 2017-05-14 23:54:09.889659 | 2017-05-15 01:20:33.475822 | 01:26:23.586163
 11293 | 558 |       1 | 2017-05-14 23:11:08.317476 | 2017-05-14 23:42:52.761584 | 00:31:44.444108
 11292 | 558 |       1 | 2017-05-14 22:22:16.222991 | 2017-05-14 23:08:27.644656 | 00:46:11.421665
 11291 | 558 |       1 | 2017-05-14 15:47:34.773359 | 2017-05-14 22:18:38.630372 | 06:31:03.857013
 11290 | 558 |       1 | 2017-05-14 08:44:14.469653 | 2017-05-14 15:44:30.804366 | 07:00:16.334713
 11289 | 558 |       1 |                            |                            | 
 11288 | 558 |       1 | 2017-05-14 08:30:42.131125 | 2017-05-14 08:35:48.375158 | 00:05:06.244033
 11287 | 558 |       1 | 2017-05-14 08:24:32.049134 |                            | 
 11286 | 558 |       1 | 2017-05-14 06:26:21.50653  | 2017-05-14 08:21:38.530393 | 01:55:17.023863
 11285 | 558 |       1 | 2017-05-14 04:58:01.008561 | 2017-05-14 06:23:04.575409 | 01:25:03.566848
 11284 | 558 |       1 | 2017-05-14 04:34:56.018746 | 2017-05-14 04:54:32.673221 | 00:19:36.654475
